user_id,navigation_nps,started_survey,edited_survey,published_nps
210,2022-04-25 10:24:08.172,,,
211,2022-05-26 23:47:21.935,,2022-05-26 23:47:28.726,
212,2022-02-08 04:20:46.080,,,
213,2022-12-14 13:29:36.943,,,
214,2022-04-20 23:55:21.572,,,
215,2022-01-11 16:59:18.575,,2022-02-04 07:53:59.526,
216,2022-04-05 19:23:03.327,2022-05-24 18:53:24.669,2022-05-24 18:53:24.698,2022-05-24 18:54:35.081
217,2022-05-27 16:42:10.404,,,
218,2022-05-31 16:13:23.785,,,
219,2022-12-13 13:04:49.731,,,
220,2022-04-21 18:12:25.785,,,
221,2022-01-19 19:30:36.092,2022-02-15 19:26:38.133,2022-02-15 19:26:38.138,
222,2022-12-20 11:59:24.949,,,
223,2022-04-13 22:00:05.757,,,
224,2022-12-19 16:44:17.811,,,
225,2022-05-10 20:30:47.454,,,
226,2022-01-10 21:01:33.988,,,
227,2022-05-09 02:12:56.129,,2022-09-27 04:43:57.811,2022-12-21 01:28:35.480
228,2022-12-14 19:12:16.025,,,
229,2022-04-19 13:07:29.326,,,
230,2022-12-13 15:09:10.193,,,
231,2022-01-23 22:40:07.506,,,
232,2022-12-19 15:08:13.000,,,
233,2022-01-20 17:21:43.844,,,
234,2022-02-16 16:07:17.080,,,
235,2022-03-29 06:32:24.367,,,
236,2022-04-03 23:48:21.316,,,
237,2022-01-26 13:55:25.315,2022-01-26 22:57:23.044,2022-01-26 22:57:23.110,
238,2022-02-25 19:50:05.467,2022-04-06 18:25:36.822,2022-04-06 18:25:36.827,
239,2022-03-28 16:51:40.506,2022-03-28 16:51:42.899,2022-03-28 16:51:42.909,2022-03-28 16:53:50.918
240,2022-02-02 19:36:47.042,,,
241,2022-01-04 23:41:47.061,,2022-08-02 01:29:28.086,
242,2022-05-09 09:35:31.971,,,
243,2022-01-31 20:27:02.841,,2022-02-11 15:35:49.479,
244,2022-01-13 10:21:29.684,,2022-01-27 09:19:42.710,
245,2022-02-23 15:12:46.516,,,
246,2022-01-18 15:18:08.769,,2022-01-18 15:18:12.419,
247,2022-04-27 01:24:55.974,,,
248,2022-03-24 13:52:32.515,,,
249,2022-01-02 18:01:55.701,,2022-01-02 18:03:42.520,
250,2022-05-31 21:02:15.500,,,
251,2022-04-25 22:36:01.293,,,
252,2022-01-03 19:04:52.550,,,
253,2022-03-31 11:20:46.897,,,
254,2022-04-25 12:49:40.400,,,
